Month,Wind speed,Wind direction,Sun,Cloud cover,Chances of rain
8,3,1,80,36,46
6,35,3,53,75,49
5,44,4,16,30,74
12,40,2,61,42,31
6,37,3,19,90,28
2,40,4,42,49,42
4,32,1,80,68,19
5,11,1,28,55,63
1,17,1,78,80,32
10,59,1,34,96,25
7,70,4,85,55,28
3,61,2,33,27,29
3,56,3,69,71,46
12,15,3,20,44,72
12,34,4,30,99,70
3,35,2,24,44,26
12,78,1,33,62,49
7,51,2,62,89,49
8,25,2,86,77,56
8,73,2,98,22,18
1,66,3,80,36,41
12,1,2,89,99,30
4,67,2,34,82,29
12,76,3,30,99,61
7,32,2,63,79,79
7,27,4,36,66,12
2,3,1,50,38,36
10,61,2,18,82,75
4,15,4,70,99,48
5,9,3,71,41,60
11,40,2,50,39,80
3,23,3,94,45,24
11,14,2,39,45,65
4,16,4,23,89,36
10,44,1,49,39,76
5,32,2,74,50,61
6,41,3,77,26,29
8,27,1,81,86,66
6,4,4,36,58,16
11,14,1,40,54,29
11,1,4,11,63,33
12,55,1,48,41,78
6,62,2,56,87,75
11,4,4,94,30,77
2,34,2,81,57,30
5,68,2,73,99,77
2,47,4,36,30,43
4,73,2,24,77,48
9,49,2,81,40,73
2,75,4,61,70,38
6,0,3,78,53,30
3,64,1,51,41,50
8,60,2,22,33,17
5,55,1,21,46,75
4,49,4,83,25,44
2,36,4,12,61,20
3,10,3,48,95,31
8,11,4,20,78,12
9,71,2,53,55,15
2,57,4,58,73,64
7,55,2,67,32,36
3,13,4,87,50,11
7,41,3,66,83,71
3,45,1,28,72,73
12,58,4,53,77,16
2,23,1,30,23,67
1,60,1,60,60,17
8,27,1,94,89,32
10,60,2,47,94,79
9,31,4,72,30,36
1,38,3,89,76,62
2,73,3,23,90,33
1,10,3,56,99,14
6,29,1,12,62,87
7,67,3,17,23,78
10,56,1,58,31,43
3,44,3,33,28,26
11,18,4,33,69,77
1,32,4,79,56,44
8,51,3,89,56,53
3,7,2,57,99,90
1,58,1,14,38,73
10,22,1,80,62,73
3,10,2,33,79,55
2,0,2,47,89,49
9,42,1,14,92,88
2,2,3,48,93,87
12,61,3,88,34,85
4,14,4,46,29,79
3,9,2,72,36,71
8,66,2,28,34,55
5,66,1,15,94,30
3,48,4,12,23,12
10,23,3,83,58,27
2,53,1,31,70,77
11,36,4,58,62,64
4,16,2,45,38,43
2,73,1,36,67,13
1,68,2,89,70,47
6,54,4,85,65,35
12,60,3,89,61,25
2,34,1,94,99,23
9,34,1,89,74,20
8,17,4,76,50,37
9,67,3,66,37,85
2,59,4,24,21,17
7,67,1,22,74,33
2,0,1,52,77,22
12,56,4,20,90,75
11,24,4,77,51,69
7,60,2,31,86,43
6,51,3,87,29,49
10,5,2,18,85,74
1,10,2,12,87,54
1,77,2,45,99,64
4,10,3,14,70,69
7,29,1,85,85,53
9,4,1,87,64,84
6,30,4,80,72,75
8,31,2,49,36,18
10,65,1,24,92,31
7,11,4,47,38,11
9,32,2,46,65,40
7,21,1,81,77,28
4,50,1,99,45,84
12,20,1,79,41,58
12,41,4,33,83,59
4,55,2,36,40,62
2,15,3,93,62,74
8,26,4,73,56,36
9,62,3,77,93,39
2,4,1,21,46,41
5,20,1,87,29,35
8,53,2,16,91,53
3,50,3,56,26,70
8,25,1,89,91,79
9,57,2,62,72,36
2,29,2,87,46,90
9,33,2,35,64,52
9,58,1,63,39,32
7,61,3,47,40,41
10,10,2,55,40,68
6,7,4,37,71,60
11,57,1,62,42,25
5,44,1,22,63,86
2,42,1,67,77,83
11,64,1,34,77,74
7,33,1,33,45,78
2,24,1,66,83,30
3,42,4,61,99,22
3,37,2,100,41,62
1,7,4,88,85,79
11,4,1,24,37,56
7,36,1,26,95,87
2,16,4,72,92,79
11,39,4,80,87,85
11,75,2,20,30,90
12,18,2,91,44,27
12,68,3,74,94,36
11,42,3,21,88,35
8,29,3,50,55,82
10,54,2,99,60,58
2,71,4,64,69,57
7,19,3,63,94,83
4,63,3,31,27,49
11,24,4,86,49,30
10,72,3,80,45,88
4,39,3,79,31,45
12,31,1,13,69,39
11,8,4,17,60,63
3,32,2,76,45,86
7,32,3,42,36,80
8,42,3,43,97,39
3,44,4,33,66,43
12,18,1,88,51,48
10,2,2,80,92,49
9,15,3,37,87,88
6,23,4,39,28,30
2,21,3,33,37,47
11,57,2,59,79,66
3,76,2,15,82,49
8,29,2,83,91,52
8,79,1,13,46,42
1,17,1,80,66,56
10,45,2,87,28,62
11,14,4,60,64,54
8,63,4,93,49,12
10,48,3,39,43,15
8,68,4,68,43,75
11,77,3,49,80,50
9,22,4,66,72,35
4,63,3,29,36,23
5,13,4,86,35,15
3,50,4,94,70,31
6,29,2,79,75,52
1,13,1,66,43,52
5,39,2,60,86,29
5,80,1,48,57,61
10,38,3,92,70,64
4,32,1,16,81,59
7,41,2,89,72,79
2,73,2,36,76,12
1,26,4,84,92,45
3,17,2,47,62,48
12,48,2,100,36,74
2,46,1,59,60,64
1,68,2,64,27,72
6,2,3,37,92,83
10,26,2,47,100,31
8,19,2,88,81,31
7,30,3,98,63,73
3,34,1,83,77,84
7,1,2,79,55,84
8,9,3,25,55,73
3,24,3,66,84,83
4,15,4,64,82,73
4,65,3,26,55,56
10,52,2,60,98,32
5,2,4,82,32,24
11,64,3,52,89,50
6,46,3,51,96,29
9,61,1,86,99,53
12,21,3,27,94,47
7,71,4,17,76,85
1,33,3,51,52,24
8,39,2,87,41,15
3,54,3,65,95,76
2,7,1,20,50,21
6,35,1,24,20,46
4,55,4,84,92,31
5,59,4,36,90,15
4,60,1,56,64,12
1,59,4,34,78,42
1,45,4,38,24,11
9,67,2,67,26,37
3,17,4,97,77,16
8,35,1,21,44,57
12,40,4,24,34,39
5,30,1,52,24,46
11,8,2,49,40,24
7,10,4,68,70,18
4,33,2,85,54,45
8,53,4,18,89,52
3,2,1,10,70,29
2,69,3,78,93,12
3,17,3,10,88,18
4,53,4,37,60,16
7,57,2,49,56,79
6,48,4,86,24,80
6,30,1,31,24,59
1,4,3,41,86,61
10,1,3,41,38,16
3,22,4,95,34,28
9,11,4,57,34,32
9,58,3,89,95,58
1,17,4,52,40,55
8,51,3,51,81,25
2,73,2,15,56,27
9,52,4,60,84,33
11,19,4,18,62,24
5,51,4,79,21,55
3,75,2,80,73,13
3,5,4,67,93,63
3,14,3,45,53,63
11,32,2,51,48,85
9,10,3,74,92,81
5,37,2,14,20,55
5,18,1,26,66,72
3,35,4,41,94,90
12,60,2,87,52,39
5,51,2,69,36,29
6,1,4,48,36,71
3,39,2,36,76,28
6,1,1,50,27,79
11,55,1,96,76,31
12,58,2,11,24,20
5,61,1,70,57,24
9,2,1,70,50,62
12,76,3,53,52,46
4,18,3,71,41,11
11,9,4,17,88,23
4,9,4,76,87,28
12,42,2,55,70,54
11,14,3,78,85,13
3,65,4,37,20,12
12,12,1,59,55,75
6,69,4,69,43,74
9,51,4,36,85,29
7,49,4,91,46,38
7,34,1,57,98,86
2,7,1,40,68,57
7,22,4,26,41,62
3,65,3,47,44,62
5,67,2,59,32,50
1,12,3,36,84,61
3,45,3,37,41,82
11,60,3,50,57,34
9,31,3,93,36,40
11,80,3,24,96,60
3,37,1,48,26,54
1,67,4,68,49,57
1,69,2,99,84,16
10,76,3,65,30,73
4,60,2,96,100,47
7,20,3,99,97,42
12,55,1,40,22,63
12,78,3,45,27,73
3,27,3,10,94,37
4,70,2,44,84,16
6,7,2,41,67,17
1,35,1,60,46,35
3,34,3,24,48,37
4,43,3,51,84,23
7,25,3,77,89,41
11,16,3,57,53,65
2,45,4,29,48,31
8,61,2,53,58,16
9,57,1,65,84,88
11,36,2,66,75,11
4,66,4,41,24,64
5,16,3,59,75,57
10,16,1,74,47,88
2,0,2,50,94,50
7,35,1,35,46,64
2,80,3,31,78,71
12,77,2,54,80,55
10,6,2,44,52,54
4,5,3,99,20,45
6,71,1,88,22,26
5,28,1,80,23,10
11,4,2,36,33,81
1,12,1,36,95,33
9,5,4,73,100,80
9,45,3,29,54,47
6,24,4,52,86,55
10,56,1,55,83,27
9,71,2,40,97,30
7,27,4,14,28,74
4,10,2,41,43,82
3,30,4,40,38,21
2,42,2,72,35,53
5,31,4,77,52,75
11,38,2,79,24,81
8,68,2,61,80,74
11,52,1,24,88,21
10,71,1,30,46,50
11,41,4,15,24,19
5,58,3,58,34,17
1,51,4,51,68,83
10,53,2,56,86,34
4,52,4,43,61,79
1,5,1,26,92,78
7,4,4,97,48,90
8,52,3,94,26,83
2,32,2,58,92,63
7,45,3,73,41,35
2,76,4,33,85,83
8,23,1,42,32,24
1,73,4,91,97,72
6,2,3,20,49,24
7,7,2,25,98,29
8,47,3,26,38,60
7,35,3,73,47,85
12,61,1,82,26,90
1,63,2,83,34,26
10,66,4,75,45,63
6,29,4,99,35,36
6,21,3,29,20,12
9,45,4,35,35,19
5,52,4,79,50,48
3,33,1,65,69,17
7,22,3,11,82,34
2,45,1,38,23,75
12,19,3,75,36,42
2,54,3,19,92,88
1,57,1,82,58,31
11,0,2,21,82,10
4,53,3,97,94,31
1,70,2,86,73,11
8,53,4,20,100,73
5,16,1,40,56,30
10,17,4,99,51,64
12,30,1,75,71,53
2,80,3,54,26,53
4,13,3,76,45,19
8,4,1,44,52,76
9,25,4,19,28,40
10,37,4,22,21,59
6,77,3,43,74,27
6,10,3,59,41,63
1,33,4,48,20,30
3,19,4,83,35,89
9,45,4,37,49,56
7,7,1,27,77,15
5,2,1,27,57,20
10,48,4,92,95,41
8,51,4,37,95,58
10,39,3,36,67,69
12,32,1,19,95,88
7,37,1,23,71,57
4,65,1,29,46,38
3,20,3,91,23,12
7,31,4,85,58,50
9,13,4,56,72,32
12,21,3,22,84,44
4,54,3,35,57,90
6,71,3,76,96,34
9,29,1,34,33,68
7,35,4,15,56,15
7,44,2,42,27,19
5,2,1,23,78,57
3,38,3,98,83,71
11,12,2,89,91,26
2,36,4,36,24,18
12,22,2,35,79,62
4,3,3,82,76,32
11,70,3,71,76,31
5,71,2,85,26,88
2,71,3,87,69,48
10,79,2,18,31,22
10,80,1,61,42,54
10,43,1,82,35,32
9,48,1,93,32,84
11,44,1,82,60,54
12,48,1,56,25,69
9,59,1,46,77,87
7,61,4,73,57,59
8,19,1,28,82,52
4,45,3,79,90,12
8,4,1,68,91,59
10,21,1,94,89,75
2,12,1,68,86,26
5,67,2,28,30,80
4,69,3,92,36,30
1,71,4,94,27,90
2,31,1,96,47,39
7,78,3,41,90,25
11,71,2,46,82,77
8,8,3,67,21,83
1,68,3,62,38,74
3,29,4,80,52,30
10,64,4,60,90,29
9,44,2,79,52,70
3,23,1,24,66,37
12,43,4,23,91,62
9,61,3,17,91,68
12,76,3,12,46,40
8,22,4,80,65,54
2,60,3,33,33,62
6,68,1,28,46,16
8,35,3,16,43,18
4,27,3,13,71,90
8,23,4,64,43,51
1,76,3,86,29,21
7,59,4,32,94,41
8,65,2,65,95,15
4,70,4,44,53,63
9,50,1,20,30,47
3,13,2,83,26,48
1,7,4,43,51,14
6,21,4,67,54,61
2,8,1,62,43,37
8,9,2,78,95,59
9,39,4,97,81,87
8,57,2,91,49,50
6,61,2,99,89,29
12,61,2,71,22,52
10,51,2,91,33,38
4,0,3,69,71,87
10,11,3,34,40,71
7,59,2,91,30,84
3,33,4,78,68,57
6,40,4,13,82,13
2,26,1,79,52,46
12,45,2,98,67,75
7,32,4,55,33,90
5,8,1,62,94,89
7,54,3,87,82,75
9,51,1,12,89,85
11,61,4,72,20,38
11,16,2,74,92,59
1,41,4,36,42,22
8,15,2,67,50,85
5,66,1,44,88,62
7,67,3,52,100,66
6,6,1,11,78,50
9,40,4,20,87,45
8,60,4,23,27,89
5,19,4,11,23,10
3,3,2,88,23,85
8,80,1,52,70,20
7,63,1,31,84,27
3,13,4,61,40,24
3,2,3,29,61,25
10,70,3,39,57,13
7,40,3,69,29,51
12,76,2,91,63,42
12,4,2,53,43,49
2,58,3,52,76,12
9,20,3,16,84,64
4,37,1,65,84,62
11,26,4,29,57,84
9,37,3,46,70,56
1,51,3,15,22,79
12,76,2,20,29,36
12,1,4,15,96,84
10,77,2,12,69,38
5,19,3,69,94,17
8,16,1,62,46,34
12,31,2,93,37,55
5,6,3,84,37,62
6,58,2,26,21,71
7,0,4,40,24,61
3,3,3,11,69,55
5,39,2,97,86,35
3,20,1,20,30,75
3,64,4,77,98,59
9,30,2,31,77,29
8,16,1,15,35,64
8,48,1,96,69,25
9,15,3,78,23,24
8,23,2,36,46,23
2,67,1,86,82,11
10,63,1,71,83,26
12,29,1,67,91,80
4,42,1,36,72,17
2,69,1,23,38,45
10,77,1,83,96,57
7,37,4,32,76,36
9,16,2,81,89,75
8,17,2,26,30,22
1,54,4,42,38,90
4,48,3,24,34,81
9,44,3,67,41,72
10,4,3,17,98,66
5,35,4,84,76,40
7,22,2,81,69,25
1,41,3,54,77,75
2,38,3,86,90,57
2,58,3,10,71,29
11,31,2,52,74,89
2,14,4,57,85,19
5,8,4,30,86,10
5,7,1,16,78,56
11,34,1,54,66,37
5,63,1,11,62,17
9,30,1,98,81,85
4,15,2,65,60,90
11,21,4,47,36,14
6,64,1,56,80,74
1,65,1,80,23,77
4,19,1,75,74,60
4,32,2,12,41,74
4,73,3,22,73,19
5,57,4,35,75,64
7,21,1,28,82,21
12,22,3,27,88,74
4,24,1,10,73,55
9,48,4,39,88,25
2,47,3,32,42,13
10,70,3,96,76,41
2,15,1,54,37,20
3,18,3,14,40,27
6,69,3,89,40,54
10,74,2,41,23,69
9,75,4,74,46,74
6,59,2,36,81,44
1,68,2,93,29,55
5,33,4,91,86,89
10,30,4,85,72,34
11,78,3,65,50,26
4,60,3,32,60,19
9,79,2,28,96,72
10,78,2,94,98,80
6,12,2,91,39,18
2,47,3,47,78,15
4,45,2,74,60,58
9,39,4,97,66,15
6,18,2,20,72,31
6,58,2,31,59,55
6,0,1,56,65,76
6,44,4,11,77,68
9,53,2,16,86,62
10,57,4,76,89,90
6,4,4,57,92,77
11,26,3,69,34,13
5,34,4,92,75,58
6,70,1,73,85,83
1,80,4,93,82,85
11,58,4,85,89,36
12,20,3,82,30,78
12,47,3,49,74,80
6,35,1,56,67,34
10,2,3,51,60,33
6,18,4,49,78,16
11,34,4,36,73,70
1,24,2,81,49,11
8,18,4,77,81,42
3,20,1,64,76,43
11,51,3,46,34,53
11,67,1,45,75,39
9,36,3,96,53,35
1,53,1,81,48,21
2,34,2,87,86,33
1,79,2,91,79,87
1,46,4,99,44,22
2,10,1,77,99,44
11,24,4,19,93,25
2,72,4,20,93,61
11,29,2,38,84,82
5,20,2,53,99,45
10,6,4,20,78,67
5,27,1,86,87,48
8,11,1,60,95,36
6,5,3,91,86,47
1,36,4,36,74,51
8,64,2,72,64,18
11,44,4,25,67,13
4,61,2,15,86,19
6,63,3,86,93,39
2,53,1,46,56,34
10,47,4,62,75,23
5,35,2,49,82,62
11,24,4,89,27,37
12,14,4,98,80,85
1,52,3,46,46,20
4,15,1,10,21,59
5,31,3,31,46,52
11,78,3,84,45,18
2,41,1,43,65,77
6,68,1,70,52,89
1,13,3,59,84,73
1,61,3,25,88,89
12,35,3,71,91,40
4,18,1,24,71,68
2,47,3,54,65,74
4,70,1,59,74,23
8,70,3,78,82,45
12,20,4,42,45,85
3,14,1,49,27,78
9,72,1,85,55,14
9,19,1,91,42,14
1,14,1,82,53,39
5,34,2,94,51,44
3,49,3,14,43,44
5,80,1,37,24,57
8,72,4,90,66,79
11,78,3,39,51,30
4,65,1,97,70,58
2,58,1,74,74,59
1,45,3,46,47,41
3,80,3,47,44,44
5,9,2,80,64,22
9,47,1,44,81,90
12,5,1,99,82,67
1,70,1,95,42,13
10,67,3,10,37,78
7,9,3,90,47,78
7,41,3,59,61,39
12,72,3,77,36,32
1,69,2,75,38,87
7,24,1,93,95,83
11,71,3,22,57,80
5,69,4,45,36,48
10,23,3,38,65,57
4,79,3,86,70,83
12,38,2,76,72,83
10,79,3,54,98,33
10,76,3,19,78,53
10,78,3,37,54,60
5,80,1,98,62,12
6,31,2,72,93,19
10,80,2,94,30,88
8,46,4,79,96,78
12,61,1,94,20,31
2,37,2,89,24,56
6,70,4,57,29,61
1,55,1,38,86,80
6,17,1,87,65,57
9,68,3,27,47,11
3,77,1,87,23,29
9,39,2,26,70,41
8,12,1,24,20,29
3,49,4,23,29,76
9,48,2,71,84,44
10,54,1,19,64,34
2,29,2,61,49,46
8,27,1,71,60,49
9,31,2,63,76,21
4,72,2,88,84,12
8,71,1,29,40,37
12,1,1,65,44,21
11,42,2,92,55,19
2,73,3,39,29,41
10,55,2,19,85,39
12,12,3,69,50,64
12,12,1,36,40,37
6,60,3,12,65,52
6,35,1,58,26,66
5,66,1,34,35,63
3,50,4,38,33,31
10,19,3,29,28,65
1,31,4,22,65,58
10,49,1,46,56,80
2,68,4,43,48,65
3,53,2,88,94,36
7,39,2,21,90,54
5,35,3,63,91,28
7,19,4,57,71,37
9,33,1,20,77,79
10,21,4,15,52,16
3,3,3,80,90,64
9,25,2,60,40,25
2,46,2,13,82,39
10,66,3,100,27,88
10,29,1,44,27,75
2,35,4,39,29,21
1,14,2,44,39,34
10,66,4,46,88,18
8,48,1,66,25,52
4,4,4,19,41,17
10,64,4,36,79,39
7,80,1,93,60,14
8,58,4,54,80,30
2,39,4,50,21,38
5,77,2,37,50,41
1,33,1,42,56,27
4,23,1,47,97,84
12,77,3,24,50,56
4,63,1,99,37,81
11,66,3,41,97,33
2,69,3,31,32,31
12,68,2,36,85,52
7,5,4,50,68,80
5,30,4,86,22,76
10,32,1,55,22,67
1,59,1,80,25,31
3,27,1,91,90,67
11,34,2,69,56,45
7,43,3,84,92,60
6,78,3,58,42,45
3,15,4,62,32,60
2,73,3,30,48,80
2,1,1,90,53,68
3,16,2,36,96,64
11,48,1,16,80,39
12,46,3,16,28,60
4,0,4,45,70,44
4,16,2,12,87,74
10,8,2,77,74,49
10,69,4,97,24,75
8,76,1,87,77,65
11,52,4,98,31,12
1,43,2,47,29,35
4,51,3,18,84,46
6,7,1,89,56,38
5,77,1,91,64,68
1,33,4,22,56,21
7,58,3,78,22,59
1,33,2,23,60,52
1,2,3,92,49,86
4,25,4,42,89,11
2,27,1,86,30,36
12,30,2,58,21,46
9,27,1,73,81,22
7,56,3,34,52,87
11,8,1,12,22,87
3,23,3,56,90,52
9,25,4,51,92,79
8,73,4,12,70,15
10,26,2,68,24,19
2,14,3,24,85,59
11,63,4,63,36,81
6,4,3,40,26,26
12,28,4,13,29,69
7,53,3,19,68,83
2,64,4,87,50,23
10,33,2,100,79,48
11,42,2,10,78,27
5,2,1,93,72,85
10,55,2,72,48,31
9,60,4,53,31,17
11,19,1,43,56,36
5,67,4,39,66,39
3,15,2,23,34,85
2,13,3,42,39,60
9,65,4,56,70,13
2,27,3,72,50,58
7,78,2,25,60,86
9,35,3,68,38,30
2,26,2,35,88,23
11,77,2,23,67,64
10,8,1,94,32,71
4,37,4,50,55,31
3,28,3,30,70,89
7,62,3,81,88,66
11,35,3,39,24,70
8,26,4,83,25,26
4,47,3,50,49,53
10,10,2,30,41,31
1,79,2,34,92,52
11,55,2,93,93,50
10,45,3,18,97,69
8,5,2,75,33,86
5,2,2,56,93,25
8,57,1,81,85,48
12,42,4,60,54,11
6,31,4,56,20,72
8,5,3,82,28,47
5,25,3,50,69,40
9,9,3,25,78,23
4,72,3,73,20,89
10,0,3,15,37,45
4,73,2,17,53,25
6,44,3,21,69,75
11,32,4,98,94,54
3,51,3,42,37,18
9,42,4,31,43,74
10,51,4,33,46,60
1,62,1,76,89,46
12,45,2,84,63,40
3,58,2,91,49,10
1,60,1,83,53,75
12,63,2,14,76,50
11,49,3,77,73,58
4,44,4,59,56,67
6,25,4,58,71,52
8,16,4,19,78,32
7,25,1,31,31,62
8,68,3,47,63,48
9,38,3,86,37,40
1,33,3,40,82,16
10,3,2,85,85,28
4,18,2,31,81,78
1,27,4,97,32,89
4,75,4,28,84,60
11,32,4,90,97,24
9,62,4,65,34,86
12,46,4,80,49,89
12,4,4,41,61,72
9,13,2,13,49,81
11,77,1,91,97,38
9,61,3,23,32,79
2,69,4,11,95,41
7,34,3,99,53,51
2,48,2,62,31,23
2,0,3,45,92,47
10,70,3,79,35,43
12,0,3,95,71,13
5,61,4,14,57,39
5,33,3,32,85,50
10,60,2,31,51,41
1,7,1,66,70,54
12,48,1,44,35,26
5,65,1,64,56,78
7,73,2,30,29,67
7,79,4,28,53,52
6,2,2,17,46,81
4,61,2,89,83,28
5,62,4,34,20,71
9,34,1,25,66,38
5,44,2,79,71,36
10,25,2,11,50,14
3,35,1,11,43,15
11,41,1,92,52,13
6,78,2,74,56,27
